Company Name*,Contact Person*,Email*,Phone*,JobName*,JobID,Location - Address*,Location - City*,Location - State*,Location - Country*,Location - ZIP*,Standard Fuel Type*,NonStandard Fuel Type*,NonStandard Fuel Description,Min Quantity,Max Quantity*,PPG/PPL*,City Rack/Terminal,Delivery Date*,Delivery End Date,Delivery Start Time*,Delivery End Time*,Single/Multiple Delivery*,Driver First Name,Driver Last Name,Driver Email,Common Fee(s),Other Fee(s),PO#,Onsite Contact Email,Onsite Contact Name,Onsite Contact Phone,Delivery Schedules - Date,Start Time,End Time,Quantity,Asset Name,CatClass,Make,Model,Year,Is Buy And Sell Order,Company Brokering For,Is Third Party Hardware Used,Invoice Preference,Vendor Id,Customer Number,Ship To,Source,Product Code,Freight Fee,Brokered Order Additional Fee(s),Broker Markup,Supplier Markup,Order Taxes
Buyer Account 5,Dan K Jr,customer17@email.me,1234567888,33333,J2234,130 Queen St W,Toronto,ON,CAN,M5H 4G1,,Other Product22,Other Product22 Desc,,250,FuelCost + $0.25,,4/25/2018,7/23/2018,8:00AM,1:00PM,Single,,,,DeliveryFee PerLitre $0.5 NotIncludeInPPG,Other-fee2 FlatFee $10 includeinppg,PO4569,john1@email.com,John Smith2,2121212121,,,,,,,,,,No,,,,,,,,,,,,,dollarontotalamount $10 desc;percentageperlitre 12% desc2;dollarperlitre $.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SFX Guidelines,"SFX Guileline: Column Names indicated with an asterisk  symbol (*) are required fields. Columns are optional: PO# & Onsite Contact Name, Email. This information will be added to your order. Columns are optional: Delivery Schedules - Date, Start Time, End Time, 1000 . These are related to the delivery schedules. Columns are optional: Asset Name, CatClass, Make, Model, Year. These are related to assigning assets to an order. When adding an assets to your order, make sure you fill out the Asset Name column.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allowed Fuel Types - to use in Fuel Type column are listed below,,Allowed Common Fees and their fee types:,,,, ,Allowed City Rack/Terminals - to use in City Rack/Terminal column are listed below,,Country Code,Default Currency,Default Unit of Measure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clear Diesel #2 - ULS,SFX Guileline: Below columns are not required for Canada Order as we are not supporting TPO with Buy/Sell and Mansfield related features,DeliveryFee - FlatFee/ByQuantity/PerHour/PerGallon,,,, ,Aberdeen Rack MS,,USA,USD,Gallons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clear Diesel #2 - ULS (Texas),City Rack/Terminal,for ByQuantity - Use 1-2000-$50|2001-7000-$40 Format,,,, ,Aberdeen Rack SD,,CAN,CAN,Litres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clear Diesel - Carb - ULS,Is Buy And Sell Order,,,,, ,Akron Rack OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conv. 87 Unleaded,Company Brokering For,WetHoseFee - PerAsset/PerHour,,,, ,Albany Rack GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conv. 89 Unleaded,Is Third Party Hardware Used,OverWaterFee - PerAsset/PerHour,,,, ,Albuquerque Rack NM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conv. 91 Unleaded,Invoice Preference,DryRunFee - FlatFee,,,, ,Albany Rack NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red Dye Diesel #2 - ULS,Vendor Id,UnderGallonFee - FlatFee,,,, ,Alexandria Rack MN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red Dye Diesel - Carb - ULS,Customer Number,EnvironmentalFee - FlatFee/PerGallon,,,, ,Alma Rack GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red Dye Diesel #2 - ULS (Texas),Ship To,ServiceFee - FlatFee/PerGallon/PerHour,,,, ,Allentown Rack PA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clear Diesel #1 - ULS,Source,LoadFee - FlatFee/PerGallon,,,, ,Altoona Rack PA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(0%-5% BioDsl) - Clear Diesel #2 - ULS,Product Code,SurchargeFee - FlatFee/PerGallon/PerHour,,,, ,Amarillo Rack TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(10% BioDsl) - Clear Diesel #2 - ULS,Freight Fee,ProcessingFee - FlatFee/PerGallon,,,, ,Anacortes Rack WA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(11% BioDsl) - Clear Diesel #2 - ULS,Brokered Order Additional Fee(s),,,,, ,Anchorage Rack AK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(15% BioDsl) - Clear Diesel #2 - ULS,Broker Markup,,,,, ,Anniston Rack AL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conv. 84 Unleaded, ,SendBrokerDataFileToBroker,,,, ,Beaumont Rack TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(20% BioDsl) - Clear Diesel #2 - ULS, ,Use Weekend/SpecialDate after IncludeInPPG/NotIncludeInPPG,,,, ,Archie Rack LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(5% BioDsl) - Clear Diesel #2 - ULS, ,,,,, ,Ardmore Rack OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(75% BioDsl) - Clear Diesel #2 - ULS, ,,,,, ,Artesia Rack NM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(80% BioDsl) - Clear Diesel #2 - ULS, ,Rule for Other Fees,,,, ,Ashland Rack KY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(10% BioDsl) - Clear Diesel #2 - ULS (LowEm), ,"Instead of space in words, use '-'. For eg. If you want to give fee name as Extra Fee then in Other fee column write as Extra-Fee",,,, ,Athens Rack GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(2% BioDsl) - Clear Diesel #2 - ULS (LowEm), ,,,,, ,Atlanta Rack GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(5% BioDsl) - Clear Diesel #2 - Carb, ,,,,, ,Austin Rack TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(20% BioDsl) - Clear Diesel #2 - ULS (LowEm), ,Invoice Preference Options,,,, ,Bangor Rack ME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(5% BioDsl) - Clear Diesel #2 - ULS (LowEm), ,"Note :- If TPO is brokered order and IsBrokeredOrder marked as Yes, then External Customer, Invoice Preference, Vendor Id, Customer Number, Source, Ship To and Product Code are Compulsory fields.",,,, ,Bay City Rack MI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conv. 85 Unleaded, ,,,,, ,Belton Rack SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(2% BioDsl) - Clear Diesel #2 - ULS,Supplier Markup,Special fees are optional,,,, ,Arcadia Rack LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conv. 86 Unleaded, ,,,,, ,Benson Rack MN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(2% BioDsl) - Red Dye Diesel #2 - ULS, ,,,,, ,Charleston Rack WV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conv. 88 Unleaded, ,,,,, ,Big Springs Rack TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conv. 92 Unleaded, ,,,,, ,Billings Rack MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conv. 93 Unleaded, ,,,,, ,Bighampton Rack NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85 Unleaded (w/10% Eth), ,,,,, ,Bakersfield Rack CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86 Unleaded (w/10% Eth), ,,,,, ,Bloomfield Rack NM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87 Unleaded - Reform (w/10% Eth), ,,,,, ,Baltimore Rack MD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87 Unleaded (w/10% Eth), ,,,,, ,Bainbridge Rack GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87 Unleaded - Clearer Burn Gas (w/10% Eth), ,,,,, ,Boise Rack ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87 Unleaded - Carb Reform (w/10% Eth), ,,,,, ,Boligee Rack AL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88 Unleaded (w/10% Eth), ,,,,, ,Boston Rack MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89 Unleaded - Reform (w/10% Eth), ,,,,, ,Bozeman Rack MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89 Unleaded (w/10% Eth), ,,,,, ,Bridgeport Rack CT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89 Unleaded - Clearer Burn Gas (w/10% Eth), ,,,,, ,Brisbane Rack CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90 Unleaded (w/10% Eth), ,,,,, ,Birmingham Rack AL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91 Unleaded - Reform (w/10% Eth), ,,,,, ,Barstow Rack CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91 Unleaded (w/10% Eth), ,,,,, ,Brownsville Rack TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conv. 91 Unleaded (Blend w Eth at Termno), ,,,,, ,Brewster Rack MN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91 Unleaded - Clearer Burn Gas (w/10% Eth), ,,,,, ,Bettendorf Rack IA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92 Unleaded - Reform (w/10% Eth), ,,,,, ,Baton Rouge Rack LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92 Unleaded (w/10% Eth), ,,,,, ,Buffalo Rack NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93 Unleaded - Reform (w/10% Eth), ,,,,, ,Burley Rack ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93 Unleaded (w/10% Eth), ,,,,, ,Burlington Rack VT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kerosene, ,,,,, ,Canton Rack OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kerosene - ULS, ,,,,, ,Cantril Rack IA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Propane , ,,,,, ,Cape Girardeau Rack MO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(0%-5% BioDsl) - Red Dye Diesel #2 - ULS, ,,,,, ,Carrollton Rack MO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(10% BioDsl) - Red Dye Diesel #2 - ULS, ,,,,, ,Casper Rack WY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(10% BioDsl) - Red Dye Diesel #2 - ULS (LowEm), ,,,,, ,Cedar City Rack UT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(15% BioDsl) - Red Dye Diesel #2 - ULS, ,,,,, ,Center Rack TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93 Unleaded - Low RVP Reform (w/10% Eth), ,,,,, ,Cincinnati Rack OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(2% BioDsl) - Red Dye Diesel #2 - ULS (LowEm), ,,,,, ,Chattanooga Rack TN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(20% BioDsl) - Red Dye Diesel #2 - ULS, ,,,,, ,Cheyboygan Rack MI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(20% BioDsl) - Red Dye Diesel #2 - ULS (LowEm), ,,,,, ,Chicago Rack IL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(3% BioDsl) - Red Dye Diesel #2 - ULS, ,,,,, ,Chelsea Rack MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(5% BioDsl) - Red Dye Diesel #2 - ULS, ,,,,, ,Cheraw Rack SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(5% BioDsl) - Red Dye Diesel #2 - ULS (LowEm), ,,,,, ,Chico Rack CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red Dye Diesel #1 - ULS, ,,,,, ,Champaign Rack IL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87 Unleaded - Low RVP Reform (w/10% Eth), ,,,,, ,Charlotte Rack NC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89 Unleaded - Low RVP Reform (w/10% Eth), ,,,,, ,Cheyenne Rack WY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conv. 87 Unleaded Mid, ,,,,, ,Big Flats Rack NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, ,,,, ,Janesville Rack WI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, ,,,, ,Jonesboro Rack AR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87 Unleaded (w/55% Eth), ,,,,, ,Columbus Rack NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87 Unleaded (w/60% Eth), ,,,,, ,Columbus Rack GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87 Unleaded (w/65% Eth), ,,,,, ,Columbus Rack OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87 Unleaded (w/70% Eth), ,,,,, ,Clear Lake Rack IA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87 Unleaded (w/75% Eth), ,,,,, ,Cleveland Rack OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87 Unleaded - Reform (w/75% Eth), ,,,,, ,Clay Center Rack KS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87 Unleaded (w/80% Eth), ,,,,, ,Council Bluffs Rack IA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87 Unleaded (w/85% Eth), ,,,,, ,Collins Rack MS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conv. 87 Unleaded (Blend w Eth at Termno), ,,,,, ,Colton Rack CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89 Unleaded - Carb Reform (w/10% Eth), ,,,,, ,Concordia Rack KS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91 Unleaded - Carb Reform (w/10% Eth), ,,,,, ,Covent Rack LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(20% BioDsl) - Clear Diesel (Premium) - ULS, ,,,,, ,Conway Rack KS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kerosene (Dyed), ,,,,, ,Corpus Christi Rack TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kerosene (Dyed) - ULS, ,,,,, ,Covington Rack KY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kerosene - LS - Temperature Correct, ,,,,, ,Chippewa Falls Rack WI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jet Fuel, ,,,,, ,Charleston Rack SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clear Diesel #2 - HS - Temperature Correct, ,,,,, ,Carthage Rack MO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clear Diesel (Winter) - ULS, ,,,,, ,Coshocton Rack OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clear Diesel (Premium) - ULS, ,,,,, ,Dallas Rack TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clear Diesel (Premium) - HS, ,,,,, ,Dayton Rack OH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clear Diesel (Premium Winter) - ULS, ,,,,, ,Dubuque Rack IA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clear Diesel (Premium Off-Hwy), ,,,,, ,Decatur Rack IL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(2% BioDsl) - Clear Diesel #1 - ULS, ,,,,, ,Denver Rack CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(2% BioDsl) - Clear Diesel #2 - LS, ,,,,, ,Doniphan Rack NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(2% BioDsl) - Clear Diesel #2 - HS, ,,,,, ,Des Moines Rack IA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(2% BioDsl) - Clear Diesel (Winter) - ULS, ,,,,, ,Detroit Rack MI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(2% BioDsl) - Clear Diesel (Premium) - ULS, ,,,,, ,Dubois Rack PA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(2% BioDsl) - Clear Diesel (Premium Winter) - ULS, ,,,,, ,Duluth Rack MN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(3% BioDsl) - Clear Diesel (Winter) - ULS, ,,,,, ,Effingham Rack IL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(5% BioDsl) - Clear Diesel #1 - ULS, ,,,,, ,El Dorado Rack AR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(100% BioDsl) - Pure Bio Diesel, ,,,,, ,Fayetteville Rack NC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(5% BioDsl) - Clear Diesel #2 - HS, ,,,,, ,El Paso Rack TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(5% BioDsl) - Clear Diesel (Winter) - ULS, ,,,,, ,Enid Rack OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(5% BioDsl) - Clear Diesel (Premium) - ULS, ,,,,, ,Eugene Rack OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(10% BioDsl) - Clear Diesel #1 - ULS, ,,,,, ,Eureka Rack CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
